Date,High,Low,Open,Close,Volume,Adj Close,Avg Polarity
16/08/2019,303.5499878,296.269989,298.8599854,302.7999878,6905800,302.7999878,0.07215
19/08/2019,311.75,304.75,306.25,309.3800049,4942200,309.3800049,0.135989
20/08/2019,305,297.6799927,304.5700073,298.9899902,7349900,298.9899902,0.083155
21/08/2019,302.8800049,296.2000122,301.6099854,297.8099976,5685400,297.8099976,0.073507
22/08/2019,300.3299866,293.1499939,298.6499939,296.9299927,4974200,296.9299927,0.130997
23/08/2019,299.0100098,290.3200073,295,291.4400024,6324900,291.4400024,0.070475
