Date,High,Low,Open,Close,Volume,Adj Close,Avg Polarity
16/08/2019,1802.910034,1784.550049,1792.890015,1792.569946,3018000,1792.569946,0.082063691
19/08/2019,1826,1812.609985,1818.079956,1816.119995,2816300,1816.119995,0.083515828
20/08/2019,1816.819946,1799.880005,1814.5,1801.380005,1929500,1801.380005,0.101496577
21/08/2019,1829.579956,1815,1819.390015,1823.540039,2031800,1823.540039,0.044497967
22/08/2019,1829.410034,1800.099976,1828,1804.660034,2653500,1804.660034,0.050331885
23/08/2019,1804.900024,1745.22998,1793.030029,1749.619995,5270800,1749.619995,0.049703653
